SignalCode/F:Mass/F:nGen/F:bkgSysErr/F:HtCut/F:ZptCut/F:WptCut/F:minWindow/F:maxWindow/F:ZJets/F:sZJets/F:WZKFactor
2.0   200 20000 0.042  50  0  0  190  210 0.00 0.00 1.0 
2.5   250 20000 0.059 150  0  0  230  270 0.00 0.00 1.0 
3.0   300 20000 0.065 160  0  0  280  320 0.00 0.00 1.0 
4.0   400 20000 0.065 220  0  0  360  440 0.00 0.00 1.0 
5.0   500 20000 0.065 230  0  0  450  550 0.00 0.00 1.0 
6.0   600 20000 0.076 290  0  0  540  660 0.00 0.00 1.0 
7.0   700 20000 0.094 360  0  0  620  780 0.00 0.00 1.0 
8.0   800 20000 0.097 400  0  0  710  890 0.00 0.00 1.0 
9.0   900 20000 0.107 400  0  0  760 1040 0.00 0.00 1.0
10.0 1000 20000 0.140 400  0  0  820 1180 0.00 0.00 1.0
11.0 1100 20000 0.110 400  0  0  890 1310 0.00 0.00 1.0
12.0 1200 20000 0.182 400  0  0  940 1460 0.00 0.00 1.0
13.0 1300 20000 0.292 400  0  0 1020 1580 0.00 0.00 1.0
14.0 1400 20000 0.138 400  0  0 1110 1690 0.00 0.00 1.0
15.0 1500 20000 0.119 400  0  0 1200 1800 0.00 0.00 1.0
