Rho/F:Pi/F:Xsec/F
100	100	4.2025e-04	
100	125	4.2073e-04	
100	150	4.2079e-04	
100	175	4.2254e-04	
100	200	4.2145e-04	
100	225	4.2200e-04	
100	250	4.2163e-04	
100	275	4.2103e-04	
100	300	4.2206e-04	
100	325	4.2206e-04	
100	350	4.2103e-04	
100	375	4.2013e-04	
100	400	4.2188e-04	
100	425	4.2139e-04	
100	450	4.2073e-04	
100	475	4.2212e-04	
100	500	4.2212e-04	
100	525	4.2170e-04	
100	550	4.2079e-04	
100	575	4.2224e-04	
100	600	4.2073e-04	
100	625	4.2055e-04	
100	650	4.2182e-04	
100	675	4.2170e-04	
100	700	4.2176e-04	
100	725	4.2254e-04	
100	750	4.2260e-04	
100	775	4.2188e-04	
100	800	4.2151e-04	
100	825	4.2133e-04	
100	850	4.2188e-04	
100	875	4.2049e-04	
100	900	4.2085e-04	
125	100	4.1904e-04	
125	125	4.1880e-04	
125	150	4.1928e-04	
125	175	4.1814e-04	
125	200	4.1886e-04	
125	225	4.1892e-04	
125	250	4.1826e-04	
125	275	4.1964e-04	
125	300	4.2013e-04	
125	325	4.1850e-04	
125	350	4.1934e-04	
125	375	4.1784e-04	
125	400	4.1904e-04	
125	425	4.2103e-04	
125	450	4.1784e-04	
125	475	4.1808e-04	
125	500	4.1729e-04	
125	525	4.1886e-04	
125	550	4.1844e-04	
125	575	4.1971e-04	
125	600	4.1832e-04	
125	625	4.1971e-04	
125	650	4.1922e-04	
125	675	4.1856e-04	
125	700	4.1778e-04	
125	725	4.2139e-04	
125	750	4.1808e-04	
125	775	4.1983e-04	
125	800	4.1838e-04	
125	825	4.1916e-04	
125	850	4.1765e-04	
125	875	4.2061e-04	
125	900	4.1844e-04	
150	100	6.7428e-04	
150	125	6.7488e-04	
150	150	6.7669e-04	
150	175	6.7488e-04	
150	200	6.7488e-04	
150	225	6.7609e-04	
150	250	6.7729e-04	
150	275	6.7428e-04	
150	300	6.7669e-04	
150	325	6.7729e-04	
150	350	6.7790e-04	
150	375	6.7548e-04	
150	400	6.7368e-04	
150	425	6.7548e-04	
150	450	6.7609e-04	
150	475	6.7548e-04	
150	500	6.7609e-04	
150	525	6.7428e-04	
150	550	6.7548e-04	
150	575	6.7488e-04	
150	600	6.7488e-04	
150	625	6.7247e-04	
150	650	6.7609e-04	
150	675	6.7307e-04	
150	700	6.7790e-04	
150	725	6.7729e-04	
150	750	6.7609e-04	
150	775	6.7609e-04	
150	800	6.7548e-04	
150	825	6.7247e-04	
150	850	6.7850e-04	
150	875	6.7609e-04	
150	900	6.7488e-04	
175	100	1.0735e-01	
175	125	1.3329e-01	
175	150	1.4239e-01	
175	175	1.4559e-01	
175	200	1.4613e-01	
175	225	1.4619e-01	
175	250	1.4625e-01	
175	275	1.4656e-01	
175	300	1.4619e-01	
175	325	1.4746e-01	
175	350	1.4680e-01	
175	375	1.4644e-01	
175	400	1.4607e-01	
175	425	1.4686e-01	
175	450	1.4692e-01	
175	475	1.4650e-01	
175	500	1.4710e-01	
175	525	1.4692e-01	
175	550	1.4674e-01	
175	575	1.4698e-01	
175	600	1.4638e-01	
175	625	1.4752e-01	
175	650	1.4631e-01	
