SignalCode/I:Mass/F:Lumi/F:DataEvts/F:MCEvts/F:statMCEvts/F:sysMCEvts/F:sMCEvts/F:BkgEvts/F:statBkgEvts/F:sysBkgEvts/F:sBkgEvts/F:Eff/F:statEff/F:sysEff/F:sEff/F
3	   300	  2510	      14	204.7977   14.2547   10.1085   17.4751   17.0159    3.9263    5.6325    6.8660  0.1978  0.0038  0.0088  0.0096  
4	   400	  2510	       4	102.1871   10.0658    4.7030   11.1103    7.9076    2.6533    1.6022    3.0995  0.3097  0.0044  0.0145  0.0152  
6	   600	  2510	       2	 20.5327    4.5322    1.0691    4.6566    1.1098    1.0573    0.2886    1.0960  0.3601  0.0046  0.0191  0.0196  
7	   700	  2510	       0	 11.9695    3.4597    0.6566    3.5215    0.5682    0.7538    0.1214    0.7635  0.4163  0.0047  0.0236  0.0240  
8	   800	  2510	       0	  6.1020    2.4702    0.3500    2.4949    0.3447    0.5871    0.0629    0.5904  0.3944  0.0047  0.0236  0.0240  
9	   900	  2510	       0	  3.0136    1.7360    0.1851    1.7458    0.1175    0.3427    0.0210    0.3434  0.3480  0.0045  0.0221  0.0226  
11	  1100	  2510	       0	  0.7328    0.8560    0.0064    0.8560    0.0385    0.1963    0.0064    0.1964  0.3081  0.0034  0.0000  0.0034  
13	  1300	  2510	       0	  0.2721    0.5217    0.0038    0.5217    0.0233    0.1525    0.0038    0.1526  0.2705  0.0032  0.0000  0.0032  
15	  1500	  2510	       0	  0.0595    0.2440    0.0015    0.2440    0.0091    0.0954    0.0015    0.0954  0.1258  0.0024  0.0000  0.0024  
103	   300	  2510	      10	 38.2466    6.0825    3.3211    6.9301   12.9558    3.4214    3.1227    4.6322  0.1731  0.0038  0.0077  0.0086  
104	   400	  2510	       3	 14.2739    3.7090    0.8154    3.7976    4.5435    2.0066    0.6758    2.1173  0.2214  0.0042  0.0104  0.0112  
105	   500	  2510	       4	  5.2623    2.2901    0.3563    2.3177    1.3808    1.1676    0.3001    1.2055  0.2192  0.0041  0.0108  0.0116  
